State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,0.622,0.616,0.569,"132,609,063","131,304,731","213,313,508","230,872,030",0.084,"1,605,448","2,451,085","627,680","3,144,831","4,972,217"
Alabama,0.61,0.608,0.584,"2,105,622","2,099,819","3,454,510","3,595,708",0.022,"30,508","53,252","8,042","61,155","74,079"
Alaska,0.683,0.68,0.643,"327,341","326,197","479,429","507,645",0.037,"5,014","6,708","1,732","9,234","60,686"
Arizona,0.574,0.567,0.491,"2,320,851","2,293,475","4,046,075","4,673,718",0.116,"39,589","82,232","7,534","84,472","90,036"
Arkansas,0.529,0.525,0.5,"1,095,958","1,086,617","2,071,563","2,174,846",0.029,"14,716","31,169","19,908","40,255","43,963"
California,0.617,0.609,0.495,"13,743,177","13,561,900","22,261,504","27,411,094",0.179,"173,670",0,"120,753","234,047","486,207"
Colorado,0.716,0.71,0.647,"2,422,236","2,401,361","3,382,959","3,708,955",0.08,"23,274",0,"11,654","29,101","71,854"
Connecticut,,0.666,0.604,,"1,646,792","2,471,082","2,725,917",0.085,"20,661",0,"2,328","21,825","45,799"
Delaware,0.658,0.656,0.606,"413,562","412,398","628,200","680,493",0.053,"7,075","17,216",551,"15,959","12,658"
District of Columbia,0.617,0.615,0.552,"266,871","265,853","432,566","481,971",0.103,0,0,0,0,"6,916"
Florida,0.666,0.661,0.576,"8,453,743","8,390,744","12,687,407","14,558,436",0.112,"102,388","279,760","4,528","244,532","451,907"
Georgia,0.627,0.625,0.556,"3,940,705","3,924,440","6,281,872","7,063,638",0.073,"52,719","397,081","23,448","262,984","141,001"
Hawaii,0.49,0.488,0.438,"456,064","453,568","930,067","1,036,088",0.097,"5,955",0,0,"5,955","20,090"
Idaho,0.648,0.636,0.586,"667,506","655,032","1,029,416","1,117,842",0.049,"7,290","49,513","3,361","33,727","26,779"
Illinois,0.643,0.636,0.574,"5,578,195","5,523,051","8,681,138","9,615,700",0.092,"45,474",0,0,"45,474","200,530"
Indiana,0.603,0.591,0.57,"2,805,986","2,751,054","4,653,019","4,826,231",0.03,"28,322",0,0,"28,322","89,605"
Iowa,0.697,0.694,0.669,"1,543,662","1,537,123","2,216,094","2,298,515",0.026,"8,766","22,958","3,159","21,825","43,108"
Kansas,0.635,0.62,0.588,"1,264,208","1,235,872","1,991,759","2,100,084",0.042,"8,539","16,263","4,958","19,150","42,495"
Kentucky,0.59,0.579,0.557,"1,858,578","1,826,508","3,152,629","3,277,617",0.022,"21,706","51,035","12,277","53,362","58,518"
Louisiana,0.618,0.612,0.587,"1,979,852","1,960,761","3,205,794","3,342,279",0.02,"38,381","40,025","24,636","70,712","68,285"
Maine,0.718,0.706,0.696,"744,456","731,163","1,036,242","1,049,816",0.013,0,0,0,0,"21,362"
Maryland,0.678,0.67,0.606,"2,661,905","2,631,596","3,925,117","4,342,850",0.078,"23,324","96,360","13,220","78,114","77,074"
Massachusetts,0.673,0.668,0.609,"3,102,995","3,080,985","4,612,550","5,058,035",0.086,"11,408",0,0,"11,408","77,830"
Michigan,0.697,0.692,0.664,"5,039,080","5,001,766","7,229,512","7,528,460",0.033,"48,738",0,0,"48,738","163,673"
Minnesota,0.781,0.778,0.732,"2,921,147","2,910,369","3,740,142","3,975,974",0.04,"9,910","127,627","5,081","76,264","70,063"
Mississippi,,0.61,0.589,,"1,289,856","2,113,347","2,190,402",0.019,"22,754","22,267","2,922","35,349","45,082"
Missouri,0.682,0.676,0.649,"2,950,504","2,925,205","4,327,572","4,507,688",0.025,"30,186","57,360","20,683","69,208","96,710"
Montana,0.671,0.663,0.651,"497,599","491,960","741,853","755,384",0.013,"3,545",0,0,"3,545","22,898"
Nebraska,0.637,0.629,0.594,"811,923","801,281","1,274,719","1,348,048",0.043,"4,520","19,606",846,"14,746","27,311"
Nevada,0.572,0.57,0.484,"970,019","967,848","1,696,831","2,000,277",0.141,"12,743","13,337","3,908","21,366","45,656"
New Hampshire,0.725,0.717,0.696,"719,643","710,970","992,226","1,021,787",0.026,"2,702",0,0,"2,702","25,558"
New Jersey,0.677,0.67,0.582,"3,910,220","3,868,237","5,776,527","6,651,284",0.117,"25,953","128,737","15,849","98,246","110,559"
New Mexico,0.612,0.609,0.551,"833,365","830,158","1,362,629","1,505,830",0.083,"6,402","20,883","3,724","18,706","31,444"
New York,0.596,0.59,0.514,"7,721,718","7,640,640","12,948,969","14,876,971",0.124,"60,347",0,"52,225","86,460","263,787"
North Carolina,0.661,0.655,0.607,"4,354,571","4,310,789","6,584,302","7,096,503",0.059,"39,482","109,678","3,409","96,026","133,483"
North Dakota,0.636,0.627,0.617,"321,133","316,621","504,762","512,768",0.013,"1,452",0,0,"1,452","11,179"
Ohio,0.678,0.669,0.651,"5,773,777","5,698,260","8,513,079","8,757,453",0.022,"51,686",0,0,"51,686","174,703"
Oklahoma,0.563,0.558,0.528,"1,474,694","1,462,661","2,619,121","2,770,219",0.04,"25,864","27,940","3,073","41,371","57,046"
Oregon,0.683,0.677,0.627,"1,845,251","1,827,864","2,700,327","2,916,246",0.069,"14,167",0,0,"14,167","63,480"
Pennsylvania,0.642,0.636,0.613,"6,071,357","6,012,692","9,457,942","9,813,664",0.031,"49,215",0,0,"49,215","203,791"
Rhode Island,0.623,0.618,0.571,"475,428","471,766","763,608","825,786",0.07,"4,045",0,0,"4,045","13,827"
South Carolina,0.582,0.58,0.553,"1,927,153","1,920,969","3,311,044","3,473,488",0.034,"24,326","41,254","1,947","45,927","72,241"
South Dakota,0.656,0.647,0.634,"387,449","381,975","590,720","602,539",0.012,"3,342",0,"2,720","4,702","20,144"
Tennessee,0.574,0.57,0.545,"2,618,238","2,599,749","4,563,192","4,771,926",0.031,"27,228","58,109","10,578","61,572","127,930"
Texas,,0.541,0.455,,"8,077,795","14,929,810","17,756,112",0.135,"172,506","427,080","102,921","437,507","549,216"
Utah,0.571,0.56,0.518,"971,185","952,370","1,700,286","1,840,087",0.072,"6,552",0,0,"6,552","31,783"
Vermont,0.677,0.673,0.66,"326,822","325,046","482,677","492,610",0.02,0,0,0,0,"10,546"
Virginia,0.676,0.67,0.618,"3,753,059","3,723,260","5,555,415","6,022,123",0.066,"38,276","53,614","4,471","67,319","124,689"
Washington,0.673,0.666,0.603,"3,071,587","3,036,878","4,561,163","5,032,960",0.078,"17,926","113,134","11,768","80,377","138,296"
West Virginia,0.512,0.499,0.491,"731,691","713,362","1,430,439","1,453,045",0.008,"6,059","8,283","2,005","11,203","33,788"
Wisconsin,0.727,0.724,0.693,"2,997,086","2,983,417","4,120,694","4,306,876",0.03,"23,379","50,418","18,105","57,641","78,721"
Wyoming,0.631,0.628,0.609,"256,035","254,658","405,732","418,040",0.017,"2,084","5,438",727,"5,167","13,832"
