State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,0.553,0.542,0.5,"107,390,107","105,375,486","194,331,436","210,623,408",0.077,"1,377,013","2,339,388","536,039","3,082,746","2,937,000"
Alabama,,0.516,0.501,,"1,672,551","3,241,682","3,334,576",0.015,"26,225","40,178","5,484","51,798",
Alaska,0.687,0.681,0.65,"287,825","285,560","419,111","440,296",0.034,"4,173","4,779",525,"7,088",
Arizona,0.464,0.456,0.402,"1,559,520","1,532,016","3,357,701","3,816,498",0.103,"26,510","59,810","3,474","59,889",
Arkansas,,0.479,0.46,,"921,781","1,925,961","2,001,774",0.023,"11,915","28,409","8,659","34,779",
California,0.566,0.557,0.441,"11,142,843","10,965,849","19,685,258","24,867,252",0.188,"163,001",0,"117,647","280,648",
Colorado,,0.575,0.537,,"1,741,368","3,026,316","3,246,521",0.067,"16,833",0,"5,500","22,333",
Connecticut,0.625,0.619,0.566,"1,474,103","1,459,525","2,357,687","2,575,243",0.066,"18,355","47,636","1,868","44,041",
Delaware,,0.59,0.549,,"327,529","554,863","594,256",0.039,"6,921","20,052",579,"17,526",
District of Columbia,,0.483,0.439,,"201,355","416,696","458,301",0.102,"7,456",0,0,"7,456",
Florida,0.575,0.559,0.479,"6,138,765","5,963,110","10,667,193","12,475,387",0.104,"71,319","296,139","5,982","225,371",
Georgia,0.476,0.458,0.424,"2,684,951","2,583,208","5,639,668","6,087,332",0.059,"44,232","321,407","21,556","226,492",
Hawaii,0.446,0.442,0.399,"371,113","367,951","832,642","923,737",0.081,"5,053",0,0,"5,053",
Idaho,0.589,0.572,0.535,"516,647","501,615","877,406","935,443",0.038,"5,535","35,103","1,409","24,496",
Illinois,0.585,0.562,0.514,"4,932,192","4,742,123","8,432,600","9,208,908",0.087,"45,281",0,0,"45,281",
Indiana,0.508,0.493,0.483,"2,246,003","2,182,295","4,424,909","4,527,523",0.023,"20,125",0,0,"20,125",
Iowa,,0.632,0.596,,"1,315,563","2,082,950","2,199,529",0.024,"7,955","21,147","2,763","21,292",
Kansas,0.567,0.556,0.54,"1,092,716","1,072,216","1,927,950","1,983,933",0.039,"8,344",0,"3,829","12,173",
Kentucky,0.531,0.522,0.504,"1,568,058","1,544,107","2,955,628","3,059,582",0.015,"14,919","19,620","4,614","29,343",
Louisiana,0.567,0.564,0.542,"1,776,133","1,765,656","3,130,267","3,260,060",0.016,"35,207","35,854","22,860","75,994",
Maine,,0.672,0.664,,"651,817","969,292","979,314",0.015,0,0,0,0,
Maryland,0.558,0.555,0.51,"2,036,455","2,025,480","3,649,631","3,972,224",0.064,"23,538","81,523","13,666","77,966",
Massachusetts,0.606,0.599,0.554,"2,736,006","2,704,984","4,517,052","4,870,470",0.08,0,0,0,0,
Michigan,0.605,0.599,0.573,"4,279,299","4,232,501","7,070,702","7,370,524",0.033,"47,718",0,0,"47,718",
Minnesota,0.701,0.695,0.664,"2,458,303","2,438,657","3,506,432","3,662,005",0.037,"6,238","115,906","3,072","67,263",
Mississippi,,0.491,0.478,,"994,184","2,024,650","2,076,861",0.01,"20,241","15,118","1,596","29,396",
Missouri,,0.582,0.562,,"2,359,892","4,052,255","4,190,073",0.018,"27,382","53,299","12,563","66,595",
Montana,0.626,0.616,0.606,"417,916","410,986","667,525","676,065",0.009,"3,105",0,0,"3,105",
Nebraska,0.578,0.569,0.55,"707,223","696,983","1,224,178","1,266,496",0.034,"3,895","21,483",476,"15,113",
Nevada,0.456,0.452,0.402,"613,360","608,970","1,346,116","1,523,209",0.118,"10,063","12,189","4,056","20,214",
New Hampshire,0.65,0.639,0.607,"578,656","569,081","890,622","934,176",0.027,"2,257",0,0,"2,257",
