actual_result_2012,af_am_r_share,af_am_turnout_2012,af_am_vep_2012,af_am_vep_2016,af_am_vep_total_2016,az_plus_other_r_share,az_plus_other_turnout_2012,az_plus_other_vep_2012,az_plus_other_vep_2016,az_plus_other_vep_total_2016,calculated_result_2012,calculated_result_2016,code,electoral_votes,error_2012,hisp_r_share,hisp_turnout_2012,hisp_vep_2012,hisp_vep_2016,hisp_vep_total_2016,overall_percent_af_am_2016,overall_percent_az_plus_other_2016,overall_percent_hisp_2016,overall_percent_white_2016,projected_2016_population,state,state_short,white_r_share,white_turnout_2012,white_vep_2012,white_vep_2016,white_vep_total_2016
0.587468256,0.061018347,0.554087367,0.31,0.3167924,1074545,0.299414246,0.296150145,0.02,0.0252501,85647,0.612427815,0.598787856,2,8,0.024959559,0.275510204,0.987167149,0.03,0.0367416,124626,0.0384,0.0058,0.0045,0.0135,3391954,Louisiana,LA,0.897959184,0.583045597,0.64,0.6212159,2107136
0.421400786,0.060606061,0.663075235,0.01,0.0067939,7250,0.395833333,0.663075235,0.02,0.022706,24230,0.407154118,0.408150842,1,4,-0.014246668,0.275510204,0.663075235,0.01,0.0106307,11344,0.0003,0.0016,0.0004,0.0066,1067106,Maine,ME,0.412371134,0.663075235,0.96,0.9598694,1024282
0.366782742,0.03,0.629679309,0.29,0.2948247,1254629,0.30702862,0.652167856,0.06,0.0659045,280457,0.37722988,0.370208431,1,10,0.010447138,0.275510204,0.913034999,0.05,0.0538881,229321,0.0448,0.019,0.0082,0.0159,4255509,Maryland,MD,0.56122449,0.630785303,0.61,0.5853827,2491101
0.382143193,0.070707071,0.776002579,0.05,0.0519258,257439,0.30702862,0.388001289,0.05,0.0608282,301575,0.393254723,0.390696657,1,11,0.011111531,0.275510204,0.369525037,0.07,0.0780147,386783,0.0092,0.0204,0.0138,0.0257,4957820,Massachusetts,MA,0.424242424,0.670042387,0.83,0.8092313,4012023
0.451994679,0.05,0.731440431,0.14,0.1403489,1043670,0.329229798,0.85334717,0.03,0.0396749,295033,0.459462434,0.455475866,1,16,0.007467754,0.350515464,0.640010377,0.03,0.0361145,268557,0.0373,0.02,0.0096,0.0373,7436257,Michigan,MI,0.555555556,0.616009988,0.8,0.7838617,5828997
0.460587735,0.060606061,0.927985003,0.04,0.0435073,174561,0.315909091,0.742388002,0.05,0.0535017,214661,0.4665756,0.462676716,1,10,0.005987864,0.275510204,0.742388002,0.03,0.0340052,136436,0.0062,0.0145,0.0049,0.0223,4012220,Minnesota,MN,0.505154639,0.725705126,0.89,0.8689858,3486562
0.558018992,0.04,0.604614932,0.35,0.3576299,790973,0.395833333,0.293910036,0.02,0.0185893,41114,0.562654222,0.554948161,1,6,0.00463523,0.275510204,0.881730109,0.02,0.0221684,49030,0.0282,0.0028,0.0018,0.0085,2211707,Mississippi,MS,0.898989899,0.568547284,0.61,0.6016124,1330590
0.547786668,0.06,0.888079135,0.11,0.1122197,510961,0.351430976,0.610554405,0.03,0.0332289,151299,0.551088648,0.544118118,1,10,0.00330198,0.275510204,0.915831608,0.02,0.0279783,127391,0.0182,0.0102,0.0046,0.0241,4553224,Missouri,MO,0.670103093,0.566943376,0.84,0.8265731,3763572
0.570342319,0.060606061,0,0,0.0036656,2970,0.237113402,0.363944637,0.1,0.0885007,71718,0.572310524,0.577119596,1,3,0.001968205,0.275510204,0.808765861,0.03,0.0235519,19086,0.0001,0.0049,0.0007,0.0046,810372,Montana,MT,0.608247423,0.606574396,0.89,0.8842818,716597
0.611293903,0.060606061,0.590232525,0.04,0.0397992,53593,0.320032802,0.39348835,0.03,0.0343652,46276,0.601678417,0.599256951,2,5,-0.009615485,0.275510204,0.295116262,0.06,0.06514,87717,0.0019,0.0031,0.0031,0.0074,1346591,Nebraska,NE,0.642857143,0.603646901,0.88,0.8606956,1159005
0.465924578,0.06122449,0.621502924,0.08,0.0851568,168647,0.479954181,0.497202339,0.1,0.1081811,214244,0.454184438,0.444149751,1,6,-0.01174014,0.252631579,0.617440814,0.17,0.1897234,375733,0.006,0.0145,0.0134,0.0078,1980424,Nevada,NV,0.565656566,0.543947858,0.65,0.6169387,1221800
0.47166248,0.060606061,0.690296674,0.01,0.0071594,7485,0.329229798,0.460197782,0.03,0.0305622,31952,0.468082927,0.469385316,1,4,-0.003579553,0.275510204,0.690296674,0.02,0.018799,19654,0.0003,0.0022,0.0007,0.0063,1045477,New Hampshire,NH,0.479591837,0.675764112,0.95,0.9434794,986386
0.410131489,0.04,0.843087774,0.13,0.1301422,789780,0.315909091,0.434926233,0.07,0.0823099,499505,0.429536374,0.423933038,1,14,0.019404885,0.275510204,0.468382097,0.13,0.1409934,855632,0.0282,0.0338,0.0306,0.0251,6068594,New Jersey,NJ,0.565656566,0.608896726,0.67,0.6465545,3923677
0.447047954,0.060606061,0.522997321,0.02,0.0189968,27899,0.317435721,0.522997321,0.11,0.1194061,175364,0.440308887,0.434802934,1,5,-0.006739066,0.308510638,0.471973192,0.41,0.422886,621065,0.001,0.0119,0.0222,0.0041,1468634,New Mexico,NM,0.577319588,0.579844856,0.46,0.4387111,644306
0.356991055,0.050505051,0.644609294,0.13,0.1353617,1860063,0.30702862,0.224462165,0.07,0.079682,1094944,0.370294613,0.3619287,1,29,0.013303558,0.11,0.523745051,0.13,0.1434979,1971866,0.0664,0.0742,0.0704,0.0564,13741428,New York,NY,0.5,0.531680582,0.66,0.6414584,8814554
0.510340349,0.04,0.640446218,0.23,0.2300115,1692059,0.389296474,0.480334663,0.04,0.0442132,325250,0.514212228,0.509048644,1,15,0.003871879,0.313131313,0.640446218,0.04,0.0460212,338551,0.0604,0.022,0.0121,0.032,7356409,North Carolina,NC,0.686868687,0.640446218,0.7,0.6797541,5000549
0.601178951,0.060606061,0.580522747,0.01,0.0065786,3824,0.299414246,0.331727284,0.07,0.0798709,46429,0.57948154,0.579014287,2,3,-0.021697412,0.275510204,0.87078412,0.02,0.020384,11849,0.0001,0.0031,0.0004,0.0033,581296,North Dakota,ND,0.607826636,0.574143376,0.91,0.8931665,519194
0.484854011,0.03030303,0.865447318,0.11,0.1159949,1016068,0.351430976,0.951992049,0.02,0.027708,242711,0.48770318,0.481108631,1,18,0.002849169,0.4375,0.951992049,0.02,0.0266261,233234,0.0363,0.0164,0.0083,0.0465,8759593,Ohio,OH,0.581632653,0.596883904,0.84,0.829671,7267580
0.667723197,0.060606061,0.491979414,0.07,0.0731204,205818,0.299414246,0.302756562,0.13,0.1444422,406573,0.646332357,0.635279252,2,7,-0.021390841,0.275510204,0.393583531,0.05,0.0626472,176338,0.0073,0.0275,0.0063,0.013,2814777,Oklahoma,OK,0.750816327,0.531869636,0.74,0.7197902,2026049
0.437288328,0.060606061,0.304187532,0.02,0.0186017,55149,0.338744589,0.608375064,0.07,0.0736251,218279,0.430440631,0.428357951,1,7,-0.006847697,0.275510204,0.405583376,0.06,0.0759629,225210,0.002,0.0148,0.008,0.0158,2964741,Oregon,OR,0.448979592,0.629847125,0.85,0.8318103,2466102
0.47268066,0.060606061,0.763900998,0.1,0.0996496,975916,0.329229798,0.391744102,0.03,0.0316301,309769,0.479368385,0.473299755,1,20,0.006687725,0.183673469,0.881424229,0.04,0.0511473,500910,0.0348,0.021,0.0179,0.0512,9793481,Pennsylvania,PA,0.575757576,0.552217589,0.83,0.817573,8006886
0.35983254,0.04040404,0.852340967,0.04,0.0452191,35416,0.329896907,0.568227311,0.04,0.0455304,35659,0.371474316,0.367597964,3,4,0.011641776,0.316326531,0.497198897,0.08,0.0893809,70003,0.0013,0.0024,0.0025,0.0041,783198,Rhode Island,RI,0.402061856,0.5614627,0.84,0.8198696,642120
0.553082547,0.06020202,0.514596551,0.27,0.2709976,998620,0.299414246,0.277882137,0.02,0.0244158,89972,0.571733535,0.568850258,2,9,0.018650988,0.275510204,0.741019033,0.03,0.0310601,114456,0.0356,0.0061,0.0041,0.0159,3684979,South Carolina,SC,0.778190064,0.563937279,0.68,0.6735265,2481931
